frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
1000.0,3.9933862686,0.3192159832,84.240020752,0.006389790455869167,-21.945133836807067
1238.5989684455544,4.0056734085,0.4125270247,82.3048400879,0.010606051563757797,-19.74446265789864
1534.1274046343915,4.0665345192,0.5674505234,80.147605896,0.019471843727727107,-17.105929245524926
1900.1686208442109,4.0286846161,0.8160746694,74.2423095703,0.04103299858098729,-13.868667448027177
2353.5468936502516,3.9417588711,1.3333278894,63.6192359924,0.11441785965267598,-9.41506180584739
2915.1007546634405,3.6371631622,2.4795176983,30.0350055695,0.46473871991958215,-3.327911425697978
3610.6407876409944,3.736618042,2.1799855232,-42.7581214905,0.34036884917536536,-4.680501937410988
4472.13595499958,3.9801008701,1.1618146896,-68.2037582397,0.08520901969434831,-10.695144311000691
5539.1829806107535,4.0421056747,0.7448247075,-76.6297149658,0.0339541468691246,-14.691071771302706
6860.826325815651,4.0539212227,0.5172857046,-81.3698654175,0.016282097206153458,-17.882896567932868
8497.81240983936,4.0656118393,0.3819934428,-83.3120880127,0.008827952570448877,-20.541400088189086
10525.381684870872,4.0787568092,0.2917305529,-85.7323455811,0.00511573696774427,-22.910917934337878
13036.72689737678,4.0665216446,0.2234776914,-85.6584091187,0.0030201059304775066,-25.19977823859067
16147.276486997276,4.0790338516,0.1724613607,-86.5764007568,0.0017875944499148376,-27.477310023978397
20000.000000000004,4.0660119057,0.1354906857,-87.6076660156,0.0011104054621739292,-29.5451841055442
