frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
1000.0,3.9999485016,1.209528327,52.5599975586,0.09143727778506058,-10.38876711971098
1136.533476009724,4.0122580528,1.3997184038,67.9090881348,0.12170365774135383,-9.146963690746627
1291.7083420907459,3.9752187729,1.6124783754,66.0465087891,0.16453781617858174,-7.8373427114727505
1468.0697720271546,4.0103931427,1.8710483313,61.5149765015,0.2176687653578462,-6.62203886098779
1668.5104410268252,4.0232000351,2.1666879654,55.9946594238,0.29003438546532356,-5.37550510609369
1896.3179712987353,3.9857549667,2.4933569431,48.5454521179,0.3913341235484102,-4.074522808429027
2155.22885553986,3.9734926224,2.8637185097,39.4137954712,0.5194166072803907,-2.844841688096613
2449.489742783179,3.9369664192,3.2479617596,28.5882358551,0.6806101066864696,-1.6710160615767233
2783.9270918155307,3.9006242752,3.5177919865,15.6347436905,0.8133398888572821,-0.8972792795092885
3164.0263346187476,3.8640244007,3.6356368065,0.4559848011,0.8852812426323546,-0.529187375284454
3596.0218482705513,3.8996911049,3.4904918671,-15.5395689011,0.801148170259911,-0.9628715485801415
4086.9992110218423,3.9356889725,3.1991500854,-28.8000030518,0.6607355748105952,-1.7997230961667552
4645.011419751654,3.9477982521,2.8187215328,-38.1058502197,0.5097936780459081,-2.9260555452151964
5279.210974995216,3.9842412472,2.4439060688,-47.0637817383,0.37625108867139995,-4.245222347780403
5999.999999999997,4.0216383934,2.101708889,-53.0935249329,0.27311093272801185,-5.636609145493407
