frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3097832203,0.2205542326,87.2072219849,0.004440498150468997,-23.525683064925246
19.306977288832496,3.788428545,0.4797374308,81.1111068726,0.016035740122685778,-17.949109905979984
37.2759372031494,3.9399633408,0.9446985722,73.8255081177,0.05749130356430195,-12.403978440003144
71.96856730011521,3.9758820534,1.710472703,62.7665710449,0.18508248030023533,-7.326346891295214
138.94954943731375,3.9385755062,2.6487076283,44.0611953735,0.4522615774524079,-3.446103068134478
268.26957952797244,3.8779840469,3.3264174461,23.5622329712,0.7357689615715886,-1.3325853683990843
517.9474679231213,3.8660523891,3.5987200737,6.3419685364,0.8664842300834759,-0.6223933698935988
1000.0,3.8540115356,3.5876457691,-10.0699291229,0.8665489318351682,-0.6220690874233036
1930.6977288832495,3.9583814144,3.2503478527,-29.745174408,0.674255357235159,-1.71175594213707
3727.593720314938,4.0192785263,2.4490683079,-49.6274337769,0.3712834501809547,-4.302944088543028
7196.856730011514,4.0823612213,1.50154984,-66.8682327271,0.1352871799959707,-8.687433558103525
13894.95494373136,4.0679249763,0.7859550118,-78.4133605957,0.03732927075280647,-14.279504941649252
26826.957952797275,4.0813956261,0.3525010347,-84.5922775269,0.007459391524889265,-21.27296597213743
51794.74679231202,4.093952179,0.0632867217,-83.1486206055,0.00023896795558912948,-36.21660331871343
100000.0,4.0813570023,0.2007685602,80.7207183838,0.0024198154169606818,-26.162177606529468
