frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3169000149,0.013027681,-90.2880020142,1.542657343692822e-05,-48.117305290693785
19.306977288832496,3.7935669422,0.0237286408,98.5250701904,3.9124627882011215e-05,-44.07549780041219
37.2759372031494,3.9453091621,0.0454282425,90.0670166016,0.00013258359440192455,-38.77510211236717
71.96856730011521,4.0307359695,0.0875584036,88.9848709106,0.0004718749985160128,-33.26173032392538
138.94954943731375,4.0183320045,0.1638891697,87.9999923706,0.0016634466519392938,-27.78991122742199
268.26957952797244,4.0306959152,0.3145478368,85.4564971924,0.006089944505632431,-22.153866648396075
517.9474679231213,4.0181417465,0.6129734516,80.2072525024,0.02327195263191719,-16.331671757296256
1000.0,4.0057806969,1.2284519672,70.9200210571,0.09404636654405747,-10.266579786393685
1930.6977288832495,3.9920830727,2.5748102665,46.9806976318,0.4159980779359367,-3.8090867596879803
3727.593720314938,3.9061021805,3.4641280174,-18.255033493,0.786503512184796,-1.042993336648894
7196.856730011514,4.0383076668,1.7683044672,-63.1488037109,0.1917411294111897,-7.1728471883600236
13894.95494373136,4.0765199661,0.8273003101,-79.1098709106,0.041185773492847855,-13.852527733000331
26826.957952797275,4.0621042252,0.3520799875,-85.0698242188,0.007512432029565897,-21.24219444349338
51794.74679231202,4.0500798225,0.0636980385,-84.881072998,0.00024735742570935473,-36.06675047514517
100000.0,4.0625391006,0.2010048032,79.880065918,0.0024480357905222387,-26.111822370523395
