frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.2054731846,3.1496589184,-0.7207207084,0.9654788300666696,-0.1525724450087298
19.306977288832496,3.7222685814,3.6199615002,-0.2777777612,0.945785148676436,-0.2420750983688809
37.2759372031494,3.8692014217,3.7415177822,-0.0,0.9350890037068984,-0.2914705011235784
71.96856730011521,3.9044754505,3.7990784645,-0.0,0.9467408875148424,-0.23768866319167806
138.94954943731375,3.9408121109,3.8107671738,-0.9999999404,0.9350899140733531,-0.2914662730026856
268.26957952797244,3.928535223,3.8226361275,-2.3151125908,0.9468138828632433,-0.23735382759540447
517.9474679231213,3.9406228065,3.8107283115,-4.1036267281,0.9351606843133385,-0.29113759913673587
1000.0,3.9282004833,3.7755529881,-8.279999733,0.9237912621000745,-0.34426149947956763
1930.6977288832495,4.010705471,3.7174658775,-16.6666660309,0.8591172531697883,-0.6594755918447759
3727.593720314938,4.0483455658,3.3660194874,-31.0067119598,0.6913183720439504,-1.603219014261343
7196.856730011514,4.0601792336,2.5892469883,-49.5389099121,0.40668349605777393,-3.9074345168312545
13894.95494373136,4.0982847214,1.5833011866,-66.5924835205,0.1492529145192195,-8.260771794799611
26826.957952797275,4.0851998329,0.7447200418,-80.04296875,0.03323222903976818,-14.784405275986765
51794.74679231202,4.0977673531,0.1382795274,-85.5279541016,0.00113873108709454,-29.435788230496264
100000.0,4.1103725433,0.4109416902,73.8000030518,0.009995350639393415,-20.00201966119887
