frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
499.99999999999994,4.0170040131,2.0443456173,59.8198165894,0.2590025905214926,-5.8669589212120705
634.3638630493988,4.0044884682,2.4099373817,52.5380706787,0.36217412692605816,-4.410825781373448
804.8350214859137,3.9921689034,2.7960450649,44.3835601807,0.49053558592518526,-3.093294812293042
1021.1165066945003,4.0044536591,3.1290948391,36.7722167969,0.6105917163821681,-2.142490918714832
1295.5188236204626,3.9918277264,3.4726126194,28.4824905396,0.7567790440845445,-1.2103090245781292
1643.660651210179,4.0280642509,3.6890788078,21.7894744873,0.8387703833063169,-0.763569127247183
2085.3578404879595,4.0156674385,3.8380820751,13.0936460495,0.9135094346377766,-0.39286962936548814
2645.751311064591,4.003308773,3.8960902691,5.7203392982,0.9471523573997133,-0.23580155467845754
3356.738044709895,4.0156288147,3.9309914112,-0.9677419662,0.958290242380157,-0.18502933955508732
4258.7866265741095,4.0282907486,3.8705146313,-8.2723207474,0.9232000283435713,-0.3470419085487713
5403.24067267334,4.0149726868,3.76151371,-17.8833694458,0.8777283131979825,-0.566398922241041
6855.241252205391,4.0273237228,3.564759016,-24.9382705688,0.7834788399262901,-1.0597272839429954
8697.43464576922,4.0149345398,3.2301871777,-32.8981704712,0.6472893179133757,-1.889015599982222
11034.676481019687,4.0529303551,2.8989071846,-41.3017082214,0.5115997685110439,-2.91069660703155
14000.000000000005,4.0395283699,2.4661056995,-47.3949584961,0.37270227926915034,-4.286379513003917
