frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3231840134,3.2385344505,-7.9120879173,0.9497039901202076,-0.22411737331993903
19.306977288832496,3.803766489,3.6046273708,-15.5675668716,0.8980345719285251,-0.46706943835171777
37.2759372031494,3.9567861557,3.4587779045,-26.8456382751,0.7641175823475246,-1.1683980708461026
71.96856730011521,3.9202599525,2.6653292179,-43.7697868347,0.4622447509497805,-3.3512801179991705
138.94954943731375,3.8839240074,1.6173821688,-59.4999961853,0.17341387936748467,-7.60916146239933
268.26957952797244,3.8480741978,0.6906961799,-66.43775177,0.032217158460378245,-14.919127668155667
517.9474679231213,3.8599171638,0.1942488104,21.9875774384,0.0025325659674679574,-25.96439233456649
1000.0,3.8480417728,0.8598097563,65.5200195312,0.049925817135928204,-13.016748183006165
1930.6977288832495,3.9288644791,1.8679565191,56.7542533875,0.22604735429385642,-6.458005716746019
3727.593720314938,4.0144000053,2.9264831543,41.3114738464,0.5314357520396981,-2.745492320272396
7196.856730011514,4.0514559746,3.6554675102,23.0172424316,0.8140734828754248,-0.8933639146591575
13894.95494373136,4.0377407074,3.9387776852,12.2585124969,0.951581707698861,-0.21553915018337796
26826.957952797275,4.0764298439,4.0236158371,4.6302251816,0.9742559636313453,-0.11326927116736332
51794.74679231202,4.0638847351,4.011238575,-0.1864318848,0.974258544468003,-0.11325776657640974
100000.0,4.0759234428,3.9742145538,-4.6776609421,0.9507155176640011,-0.219494174386768
