frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3103015423,0.0509306416,91.6344985962,0.00023671358441720234,-36.257768182511256
19.306977288832496,3.7890245914,0.1094860882,90.3474884033,0.0008349549248005694,-30.783369693532585
37.2759372031494,3.9649097919,0.2141567916,86.4429550171,0.0029174074114922343,-25.35002918081591
71.96856730011521,4.0006117821,0.4153881967,83.9740829468,0.010780911585799252,-19.673445155922952
138.94954943731375,4.0130767822,0.792650342,77.7499923706,0.039012911661713376,-14.087916356552292
268.26957952797244,3.9760303497,1.4538855553,68.369102478,0.13370912967218437,-8.738389380567588
517.9474679231213,3.9393286705,2.3682899475,52.1739120483,0.3614309251570358,-4.419746905950837
1000.0,3.9028131962,3.183024168,34.1999969482,0.6651572708938407,-1.7707565724423797
1930.6977288832495,3.8894708157,3.6363072395,19.7679824829,0.874057707649722,-0.5845989312476692
3727.593720314938,3.8775012493,3.7828752995,10.9821424484,0.951787852455267,-0.21459842345952276
7196.856730011514,3.8898816109,3.8415060043,5.5723543167,0.9752821265904281,-0.10869734765321465
13894.95494373136,3.8779137135,3.8291008472,3.5,0.9749836348866142,-0.1100267387898802
26826.957952797275,3.865531683,3.8408830166,1.5417557955,0.9872876064800984,-0.05556314693740376
51794.74679231202,3.853638649,3.8529939651,1.6778869629,0.9996654434764632,-0.0014532036235004077
100000.0,3.8898048401,3.8644096851,0.3599999845,0.9869853331648218,-0.05689301000993903
